sep=,
step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,946,2,0.036169515069312305,0.0,0.9787234042553191,0.10424349373465654,0.0,0.9799465240641712
2,2372,4,0.07850703960959925,0.0,0.9656398104265402,,,
3,3302,6,0.017757514910440905,0.0,0.9810874704491725,,,
4,4120,8,0.04908941517926152,0.0,0.9753521126760564,,,
5,5210,10,0.033184823029975684,0.0,0.9791666666666666,,,
6,6860,12,0.08941572778007888,0.0,0.9564814814814815,,,
7,8414,14,0.04519937979801979,0.0,0.9675480769230769,,,
8,9296,16,0.031169142345796364,0.0,0.9809725158562368,,,
9,10034,18,0.031127128237306873,0.0,0.983132530120482,0.026034780231131212,0.0,0.9856687898089171
10,10980,20,0.02344858796980228,0.0,0.9872,,,
11,11862,22,0.016385678400230065,0.0,0.9912663755458515,,,
12,12760,24,0.023545146896883227,0.0,0.989983305509182,,,
13,13994,26,0.060534834621908014,0.0,0.9671945701357466,,,
14,14828,28,0.028503122407483553,0.0,0.9873417721518988,,,
15,15406,30,0.021504671791936058,0.0,0.9897959183673469,,,
16,16304,32,0.023535453132271438,0.0,0.9849749582637729,,,
17,18338,34,0.0408663307689413,0.0,0.9661590524534687,0.03236140667908333,0.0,0.9793322734499205
18,19284,36,0.028739221071071793,0.0,0.9834710743801653,,,
19,20182,38,0.028377308665786288,0.0,0.982791586998088,,,
20,21288,40,0.02940512297775745,0.0,0.9814241486068112,,,
21,22810,42,0.04313293909120542,0.0,0.9800995024875622,,,
22,23644,44,0.023174865317960706,0.0,0.9863013698630136,,,
23,24510,46,0.032217003673591,0.0,0.9852216748768473,,,
24,25968,48,0.03813794467505611,0.0,0.9758576874205845,,,
25,26850,50,0.022169569292276432,0.0,0.9848771266540642,0.023767194479807147,0.0,0.9799196787148594
26,27732,52,0.03625204312357213,0.0,0.9731404958677686,,,
27,29654,54,0.03293568012234095,0.0,0.9801210025929127,,,
28,30472,56,0.023126598322486012,0.0,0.9809322033898306,,,
29,31290,58,0.017018407587007244,0.0,0.9889380530973452,,,
30,32396,60,0.024010888298821448,0.0,0.9781512605042016,,,
31,33358,62,0.01825029821796737,0.0,0.9891304347826086,,,
32,34528,64,0.03909498163034009,0.0,0.9738651994497937,,,
