step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,433,1,0.761712403942148,0.0,0.7944785276073619,0.7664977639857963,0.0,0.7004405286343612
2,866,2,0.647945029232383,0.0,0.7966666666666666,,,
3,1275,3,0.6947053460419821,0.0,0.7953020134228188,,,
4,1676,4,0.6293042570578691,0.0,0.7986348122866894,,,
5,2125,5,0.5763919584879892,0.0,0.7993630573248408,,,
6,2686,6,0.5196855563030078,0.0,0.8337028824833703,,,
7,3087,7,0.5156303066184804,0.0,0.8321917808219178,,,
8,3592,8,0.4228047738800717,0.0,0.8556962025316456,,,
9,4073,9,0.41683511303203186,0.0,0.8457142857142858,0.37899213194806075,0.0,0.8689655172413793
10,4450,10,0.48106991244070046,0.0,0.8192771084337349,,,
11,4843,11,0.3522721994210527,0.0,0.8527131782945736,,,
12,5356,12,0.2883658969163314,0.0,0.8888888888888888,,,
13,5669,13,0.2801911944837565,0.0,0.8743961352657005,,,
14,6006,14,0.3205432514812382,0.0,0.8374384236453202,,,
15,7375,15,0.25635400739657216,0.0,0.9063004846526656,,,
16,7768,16,0.2529420888018545,0.0,0.897887323943662,,,
17,8385,17,0.21424362107085565,0.0,0.9079754601226994,0.15733774638908826,0.0,0.9150943396226415
18,8682,18,0.16092189719076125,0.0,0.8734939759036144,,,
19,9139,19,0.19306329604941608,0.0,0.92,,,
20,9428,20,0.11979584089566964,0.0,0.925,,,
21,9821,21,0.12090541538073718,0.0,0.9405594405594405,,,
22,10230,22,0.13474725127232687,0.0,0.9427609427609428,,,
23,11031,23,0.1837977264778829,0.0,0.9290882778581766,,,
24,11288,24,0.16965845498619975,0.0,0.9246575342465754,,,
25,11649,25,0.18221111243281188,0.0,0.9036144578313253,0.1372267921276399,0.0,0.9626865671641791
26,12122,26,0.1750971067894445,0.0,0.9235294117647059,,,
27,12683,27,0.15406026518522778,0.0,0.9333333333333333,,,
28,13508,28,0.15621979219319804,0.0,0.934971098265896,,,
29,13917,29,0.10503572252485642,0.0,0.9420289855072463,,,
30,14278,30,0.1570632450223365,0.0,0.9212598425196851,,,
31,14687,31,0.12065453421881212,0.0,0.9461279461279462,,,
32,15048,32,0.09280072430571089,0.0,0.948,,,
33,15457,33,0.07130031284752306,0.0,0.9637681159420289,0.13007146742668518,0.0,0.9361179361179361
34,16242,34,0.14322091241553375,0.0,0.926829268292683,,,
35,16683,35,0.11589268893986132,0.0,0.9424920127795527,,,
36,16996,36,0.10122869202791898,0.0,0.9362745098039216,,,
37,17445,37,0.09159263634826388,0.0,0.9559748427672956,,,
38,17894,38,0.07491274788292669,0.0,0.9651898734177216,,,
39,18335,39,0.10028298086862077,0.0,0.963963963963964,,,
40,18704,40,0.0829196658384441,0.0,0.9580152671755725,,,
41,19761,41,0.09286355327143539,0.0,0.964248159831756,0.0753795419895211,0.0,0.9625550660792952
42,20242,42,0.08309561255117744,0.0,0.972972972972973,,,
43,20691,43,0.09902702696149782,0.0,0.9657320872274143,,,
44,21020,44,0.09370839546270247,0.0,0.949238578680203,,,
45,21301,45,0.06940008290020325,0.0,0.9714285714285714,,,
46,22054,46,0.11118401215002105,0.0,0.9438377535101404,,,
47,22647,47,0.15686486353690118,0.0,0.9279475982532751,,,
48,23408,48,0.15514715881168187,0.0,0.9299363057324841,,,
49,23777,49,0.11311543044760156,0.0,0.9458333333333333,0.07354228787370477,0.0,0.9571428571428572
50,24282,50,0.09149066218699077,0.0,0.9595687331536388,,,
51,24651,51,0.07742900511796143,0.0,0.95703125,,,
52,25068,52,0.06956678588661727,0.0,0.9752650176678446,,,
53,25477,53,0.057167300401502356,0.0,0.9783393501805054,,,
54,25918,54,0.06974943786033297,0.0,0.9665653495440729,,,
55,26335,55,0.060410272435805164,0.0,0.96875,,,
56,26768,56,0.061545195082582826,0.0,0.9690402476780186,,,
57,27481,57,0.10660972665275033,0.0,0.9584717607973422,0.0649217113959157,0.0,0.9645390070921985
58,27882,58,0.05652261694975371,0.0,0.9794520547945206,,,
59,28211,59,0.06910900612336593,0.0,0.9678899082568807,,,
60,28572,60,0.06153675450413896,0.0,0.9644268774703557,,,
61,28981,61,0.050786239574557315,0.0,0.9679715302491103,,,
62,29182,62,0.13175594882323438,0.0,0.9230769230769231,,,
63,29615,63,0.043748376572497416,0.0,0.9877675840978594,,,
64,30064,64,0.07290272690480376,0.0,0.9651898734177216,,,
65,30617,65,0.07259025252091106,0.0,0.9617224880382775,0.11006585428293066,0.0,0.9385964912280702
66,31034,66,0.08054701588918703,0.0,0.972027972027972,,,
